"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"28","codmine00154","Boma",2022-08-21,"Ituri",1500,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - USAID"
"29","codmine00158","Awu Central",2022-09-12,"Ituri",35,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","Autodéfense Zaïre","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage","IPIS - USAID"
"30","codmine00159","Uloo",2022-09-04,"Ituri",0,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","CODECO","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"31","codmine00160","Anzumu",2022-09-05,"Ituri",180,"Car or Motorbike","Less than 2h walk","Or",NA,NA,"None observed","Observed","CODECO","Aléatoire","Autodéfense Zaïre","Quotidien",NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Transport des minerais","IPIS - USAID"
"32","codmine00162","Shaba",2022-08-28,"Ituri",650,"Car or Motorbike","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","Autodéfense Zaïre","Plus d'une fois par semaine","CODECO","Aléatoire",NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure, Ramasser les pierres à la surface pour ramener au broyage","IPIS - USAID"
"33","codmine00193","Mwamba/Centrale",2021-12-08,"Nord-Kivu",45,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"34","codmine00201","Della",2021-12-08,"Nord-Kivu",31,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"35","codmine00203","Baobah",2021-12-07,"Nord-Kivu",11,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"36","codmine00206","Zangalo",2021-12-07,"Nord-Kivu",50,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"37","codmine00213","Togo/Maroc",2021-12-09,"Nord-Kivu",30,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois","Maï-Maï Simba","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"38","codmine00214","Makumo/Akwele/Maboyi/Libye",2021-12-09,"Nord-Kivu",80,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois","Maï-Maï Simba","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"39","codmine00215","Mausi",2021-12-09,"Nord-Kivu",13,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois","Maï-Maï Simba","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"40","codmine00217","Lubumbashi",2021-12-09,"Nord-Kivu",50,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"41","codmine00219","Vatican/Kazana",2021-12-08,"Nord-Kivu",32,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - USAID"
"42","codmine00228","Kigali",2021-11-27,"Nord-Kivu",120,"Less than 2h walk","Less than 2h walk","Coltan",NA,NA,"No data","Observed","FARDC","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"iTSCI","Vert","None observed",NA,"IPIS - USAID"
"43","codmine00260","Kiviri/Tayna",2022-02-16,"Nord-Kivu",78,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","Maï-Maï FPP/AP","Une fois par mois",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"44","codmine00262","Muhanga/Videndo",2022-02-16,"Nord-Kivu",50,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","Maï-Maï FPP/AP","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"45","codmine00263","Musigha",2022-02-12,"Nord-Kivu",12,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","Maï-Maï FPP/AP","Quotidien","NDC-R","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"46","codmine00264","Vunzengenere",2022-02-12,"Nord-Kivu",3500,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","Maï-Maï FPP/AP","Quotidien","NDC-R","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Creuser sous terre","IPIS - USAID"
"47","codmine00265","Lutungulu",2022-02-11,"Nord-Kivu",60,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","Maï-Maï FPP/AP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"48","codmine00276","Kavukembe",2022-02-02,"Nord-Kivu",28,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","Maï-Maï Juvenal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"49","codmine00279","Katendere",2022-02-02,"Nord-Kivu",85,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois","Maï-Maï Juvenal","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"50","codmine00281","Mambasi",2022-02-02,"Nord-Kivu",70,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois","Maï-Maï Juvenal","Une fois par mois",NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"51","codmine00282","Kanaana",2022-02-02,"Nord-Kivu",78,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"52","codmine00283","Gomora",2022-02-03,"Nord-Kivu",96,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois","Maï-Maï Juvenal","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"53","codmine00288","Mununze",2020-10-22,"Nord-Kivu",60,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM"
"54","codmine00290","Kiboto",2020-10-30,"Nord-Kivu",75,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","UPLC","Une fois par mois",NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - IOM"
"55","codmine00299","Rubonga/Buhimba",2022-08-17,"Nord-Kivu",95,"More than 2h walk","More than 2h walk","Cassitérite","Coltan","Or","None observed","Observed","Maï-Maï APCLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - USAID"
"56","codmine00325","Kinchimba",2023-03-23,"Nord-Kivu",13,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"57","codmine00326","Matungu",2023-03-22,"Nord-Kivu",250,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","NDC-R","Quotidien",NA,NA,"SAEMAPE","DGI",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"58","codmine00328","Nyakarima",2023-03-25,"Nord-Kivu",50,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"59","codmine00329","Gbadolite",2023-03-20,"Nord-Kivu",12,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"60","codmine00330","Nyamungazi",2023-03-24,"Nord-Kivu",16,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"61","codmine00331","Bukacha",2023-03-11,"Nord-Kivu",120,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Quotidien","NDC-R","Quotidien",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"62","codmine00332","Munjuli",2023-03-12,"Nord-Kivu",75,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - USAID"
"63","codmine00333","Kasara",2023-03-15,"Nord-Kivu",23,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"64","codmine00335","Mafofoki1",2023-03-13,"Nord-Kivu",1,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","NDC-R","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"65","codmine00337","Titi",2023-03-11,"Nord-Kivu",40,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"66","codmine00338","Ikere",2023-03-16,"Nord-Kivu",50,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"67","codmine00341","Charingwangwa Mulema",2023-03-18,"Nord-Kivu",22,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","NDC-R","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"68","codmine00344","Beteli",2023-03-20,"Nord-Kivu",70,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"69","codmine00346","Irameso",2022-08-21,"Nord-Kivu",450,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","NDC-R","Quotidien",NA,NA,NA,NA,"Division des mines",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"70","codmine00365","Mufereji",2022-08-21,"Nord-Kivu",156,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","NDC-R","Quotidien",NA,NA,NA,NA,"Division des mines",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"71","codmine00422","Misoke",2022-08-21,"Nord-Kivu",504,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","NDC-R","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"72","codmine00651","Cubage Centre",2021-10-26,"Sud-Kivu",100,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Creuser, Lavage","IPIS"
"73","codmine00655","Moba 1",2021-11-05,"Sud-Kivu",300,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,"Chefferie","No traceability program","Jaune","Observed","Traiter les déchets, Transport des cailloux vers le concasseur","IPIS - USAID"
"74","codmine00656","Kanyuki",2021-11-08,"Sud-Kivu",600,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","Jaune","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - USAID"
"75","codmine00657","Tusongembele",2021-11-08,"Sud-Kivu",50,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,"Chefferie","No traceability program","Jaune","None observed",NA,"IPIS - USAID"
"76","codmine00658","Lukonyala",2021-11-06,"Sud-Kivu",300,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,"Chefferie","No traceability program","Jaune","None observed",NA,"IPIS - USAID"
"77","codmine00660","Kaneto 2",2021-11-12,"Sud-Kivu",30,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,"Chefferie","No traceability program","None","None observed",NA,"IPIS - USAID"
"78","codmine00661","Kaneto 1",2021-11-13,"Sud-Kivu",8,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,"Chefferie","No traceability program","None","None observed",NA,"IPIS - USAID"
"79","codmine00663","Mulolo",2021-11-30,"Sud-Kivu",300,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,"Chefferie","No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - USAID"
"80","codmine00669","Libaku ya suka",2022-08-29,"Sud-Kivu",300,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Lavage, Traiter les déchets, Usage du mercure","IPIS - USAID"
"81","codmine00670","Kagolo Masanga",2022-08-31,"Sud-Kivu",80,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Chefferie","Anti-fraude","No traceability program","Vert","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - USAID"
"82","codmine00681","Matamba",2021-05-19,"Sud-Kivu",0,"More than 2h walk","More than 2h walk","Cassitérite","Coltan",NA,"No data","Observed","Raïa Mutomboki","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"83","codmine00685","Swiza",2021-05-18,"Sud-Kivu",0,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","Raïa Mutomboki","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"84","codmine00686","Tchelamazi",2021-05-19,"Sud-Kivu",15,"More than 2h walk","More than 2h walk","Cassitérite","Coltan",NA,"No data","Observed","Raïa Mutomboki","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"85","codmine00687","Tukutu",2021-05-24,"Sud-Kivu",300,"Less than 2h walk","Less than 2h walk","Cassitérite","Coltan",NA,"No data","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","Observed","Creuser, Creuser sous terre","IPIS - Madini"
"86","codmine00696","Kansele",2021-05-28,"Sud-Kivu",32,"More than 2h walk","More than 2h walk","Coltan","Cassitérite",NA,"No data","Observed","FARDC","Une fois par mois","Raïa Mutomboki","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Concassage, Traiter les déchets","IPIS - Madini"
"87","codmine00699","Luguguma",2021-10-30,"Sud-Kivu",56,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS"
"88","codmine00708","Kayemba",2022-01-28,"Sud-Kivu",300,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par mois","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Chefferie","Anti-fraude","No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - USAID"
"89","codmine00710","Bahombo/Kalutindi",2022-01-26,"Sud-Kivu",250,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"90","codmine00711","Kaminkya/Koweit",2022-01-26,"Sud-Kivu",30,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Anti-fraude",NA,"No traceability program","None","Observed","Creuser","IPIS - USAID"
"91","codmine00712","Mont Ngaliema",2022-02-10,"Sud-Kivu",60,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","None observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"92","codmine00713","Kabitako",2022-02-10,"Sud-Kivu",200,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Environnement",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"93","codmine00714","Nyamikundu/Ngoyi",2022-02-11,"Sud-Kivu",50,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"94","codmine00716","Kisangani",2022-02-12,"Sud-Kivu",800,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire","Maï-Maï Malaika","Aléatoire","SAEMAPE","Division des mines","Chefferie","Groupement","No traceability program","None","None observed",NA,"IPIS - USAID"
"95","codmine00753","Carrière A Tuliona",2021-09-28,"Sud-Kivu",350,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Groupement","No traceability program","None","None observed",NA,"IPIS - USAID"
"96","codmine00754","Carrière D 18 Sud/Kasopo",2021-10-07,"Sud-Kivu",1000,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Concassage, Lavage, Traiter les déchets","IPIS - USAID"
"97","codmine00756","Carrière G7 Sud",2021-09-30,"Sud-Kivu",110,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Groupement","No traceability program","None","None observed",NA,"IPIS - USAID"
"98","codmine00758","Carrière G7 Nord",2021-09-30,"Sud-Kivu",500,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Groupement","No traceability program","None","Observed","Creuser","IPIS - USAID"
"99","codmine00760","Carrière G3",2021-10-01,"Sud-Kivu",500,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Groupement","No traceability program","None","None observed",NA,"IPIS - USAID"
"100","codmine00762","Bivuye",2021-10-04,"Sud-Kivu",1000,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"101","codmine00774","Zombe",2023-03-08,"Sud-Kivu",500,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","Maï-Maï Lwesula","Une fois par mois",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"iTSCI","Vert","None observed",NA,"IPIS - USAID"
"102","codmine00785","Nyangoma Wananzo",2021-10-11,"Sud-Kivu",15,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"103","codmine00788","Wameli",2021-10-07,"Sud-Kivu",70,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Anti-fraude","No traceability program","None","None observed",NA,"IPIS - Madini"
"104","codmine00791","Kagolomba",2021-10-06,"Sud-Kivu",150,"More than 2h walk","More than 2h walk","Or","Cassitérite",NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"Division des mines","SAEMAPE","Anti-fraude","Chefferie","No traceability program","None","Observed","Lavage, Traiter les déchets","IPIS - Madini"
"105","codmine00793","Kyamilemba",2021-10-07,"Sud-Kivu",80,"More than 2h walk","More than 2h walk","Or","Cassitérite",NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Anti-fraude","No traceability program","None","Observed","Creuser, Lavage, Usage du mercure","IPIS - Madini"
"106","codmine00795","Kalekwa",2021-10-09,"Sud-Kivu",120,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Anti-fraude","No traceability program","None","Observed","Creuser, Lavage","IPIS - Madini"
"107","codmine00798","Ontario",2021-10-01,"Sud-Kivu",60,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Lavage","IPIS - Madini"
"108","codmine00799","Camp ibulungu",2021-09-30,"Sud-Kivu",50,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Lavage, Traiter les déchets, Usage du mercure","IPIS - Madini"
"109","codmine00801","Luwawa/Karonza",2021-09-29,"Sud-Kivu",12,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"110","codmine00803","Ntangila",2021-09-27,"Sud-Kivu",80,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"111","codmine00805","Waninki",2021-09-28,"Sud-Kivu",23,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"112","codmine00808","Kabereke",2021-09-26,"Sud-Kivu",50,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"113","codmine00813","Museka",2022-09-24,"Sud-Kivu",150,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Anti-fraude","Chefferie","No traceability program","Vert","Observed","Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - USAID"
"114","codmine00815","Bujumbura",2022-09-22,"Sud-Kivu",200,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Anti-fraude","Chefferie","No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - USAID"
"115","codmine00833","Kitendebwa",2022-01-26,"Sud-Kivu",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","Raïa Mutomboki","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Creuser sous terre, Lavage","IPIS - USAID"
"116","codmine00893","Sebwa-Lukoma",2022-07-16,"Sud-Kivu",383,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","Raïa Mutomboki","Quotidien",NA,NA,NA,NA,"Chefferie",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
