"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"171","codmine01887","Dallas",2023-02-27,"Tshopo",15,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"172","codmine01891","Emva tokozonga",2023-01-21,"Tshopo",76,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Usage du mercure","IPIS - USAID"
"173","codmine01916","Kamunyonge",2022-01-31,"Nord-Kivu",85,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC",NA,"Maï-Maï Juvenal","Plus d'une fois par semaine",NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Traiter les déchets","IPIS - USAID"
"174","codmine01938","Koweït",2023-02-25,"Tshopo",12,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Plus d'une fois par semaine",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"175","codmine01939","Kuzeze",2023-02-26,"Tshopo",12,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Plus d'une fois par semaine",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"176","codmine01943","Lubanaze",2022-02-02,"Nord-Kivu",38,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC",NA,"Maï-Maï Juvenal","Une fois par mois",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"177","codmine01950","Musumbu/Lututue",2022-01-30,"Nord-Kivu",122,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","Maï-Maï Juvenal","Une fois par mois",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"178","codmine01955","Maakali",2022-02-03,"Nord-Kivu",155,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Maï-Maï Juvenal","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Traiter les déchets","IPIS - USAID"
"179","codmine01958","Maanzale/Yama",2022-02-01,"Nord-Kivu",120,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"180","codmine01963","Makasi",2023-02-24,"Tshopo",22,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Plus d'une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"181","codmine01965","Malulu",2022-02-03,"Nord-Kivu",197,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire","Maï-Maï Juvenal","Aléatoire",NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"182","codmine02001","Vuhate/Nyenze",2022-01-30,"Nord-Kivu",100,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par mois","Maï-Maï Juvenal","Une fois tous les 15 jours",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"183","codmine02017","Umoja",2023-02-25,"Tshopo",63,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Plus d'une fois par semaine",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","Observed","Creuser, Lavage","IPIS - USAID"
"184","codmine02019","Volovolo central",2023-03-02,"Tshopo",850,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","None observed","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,"DGI","No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - USAID"
"185","codmine02152","Camp Limboloko",2021-05-28,"Sud-Kivu",20,"Less than 2h walk","More than 2h walk","Cassitérite","Coltan",NA,"No data","Observed","Raïa Mutomboki","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"iTSCI","None","None observed",NA,"IPIS - Madini"
"186","codmine02160","Kanosho",2022-07-19,"Sud-Kivu",100,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","Raïa Mutomboki",NA,NA,NA,NA,NA,"Chefferie",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"187","codmine02192","Lubimbe",2022-07-19,"Sud-Kivu",78,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","Raïa Mutomboki",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Creuser, Lavage","IPIS - USAID"
"188","codmine02201","Kisasa",2021-06-07,"Sud-Kivu",35,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"iTSCI","Vert","None observed",NA,"IPIS - Madini"
"189","codmine02295","Bwalala",2021-10-08,"Sud-Kivu",40,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","None observed","FARDC",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"190","codmine02468","Matantali",2022-09-05,"Tanganyika",51,"Car or Motorbike","Car or Motorbike","Coltan",NA,NA,"No data","Observed","FARDC",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","Observed","Creuser, Lavage, Traiter les déchets","IPIS - USAID"
"191","codmine02515","Amérique",2023-03-06,"Tshopo",5,"Car or Motorbike","Car or Motorbike","Or","Diamant",NA,"None observed","None observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"192","codmine02558","Kabereke",2021-11-27,"Sud-Kivu",50,"More than 2h walk","More than 2h walk","Cassitérite","Coltan",NA,"No data","Observed","Maï-Maï Inconnu","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"193","codmine02565","Kipe yayo",2021-11-04,"Tshopo",8,"More than 2h walk","More than 2h walk","Or","Diamant",NA,"None observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Secteur",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"194","codmine02591","Matonge",2021-11-02,"Tshopo",26,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Secteur",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"195","codmine02611","Sifa",2021-11-02,"Tshopo",35,"More than 2h walk","More than 2h walk","Or","Coltan","Cassitérite","None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
