"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"246","codmine00777","Kamosho/Nord-Est",2021-09-25,"Sud-Kivu",100,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"247","codmine00785","Nyangoma Wananzo",2021-10-11,"Sud-Kivu",15,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"248","codmine00788","Wameli",2021-10-07,"Sud-Kivu",70,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Anti-fraude","No traceability program","None","None observed",NA,"IPIS - Madini"
"249","codmine00791","Kagolomba",2021-10-06,"Sud-Kivu",150,"More than 2h walk","More than 2h walk","Or","Cassitérite",NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"Division des mines","SAEMAPE","Anti-fraude","Chefferie","No traceability program","None","Observed","Lavage, Traiter les déchets","IPIS - Madini"
"250","codmine00793","Kyamilemba",2021-10-07,"Sud-Kivu",80,"More than 2h walk","More than 2h walk","Or","Cassitérite",NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Anti-fraude","No traceability program","None","Observed","Creuser, Lavage, Usage du mercure","IPIS - Madini"
"251","codmine00795","Kalekwa",2021-10-09,"Sud-Kivu",120,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","Anti-fraude","No traceability program","None","Observed","Creuser, Lavage","IPIS - Madini"
"252","codmine00798","Ontario",2021-10-01,"Sud-Kivu",60,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Lavage","IPIS - Madini"
"253","codmine00799","Camp ibulungu",2021-09-30,"Sud-Kivu",50,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Lavage, Traiter les déchets, Usage du mercure","IPIS - Madini"
"254","codmine00801","Luwawa/Karonza",2021-09-29,"Sud-Kivu",12,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"255","codmine00803","Ntangila",2021-09-27,"Sud-Kivu",80,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
