Unnamed: 0,name,visit_date,province,workers_numb,mineral1,mineral2,mineral3,mercury,interference,armed_group1,armed_group2,armed_group3,state_service1,state_service2,state_service3,state_service4,childunder15work
88,Paris soir,2021-12-01,Nord-Kivu,0,Wolframite,,,No data,None observed,,,,,,,,
89,Bulongo,2021-12-02,Nord-Kivu,15,Or,,,None observed,None observed,,,,,,,,
90,Lima,2021-11-17,Nord-Kivu,60,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,,
91,Kibahuta,2022-01-26,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
92,Kyunamo,2022-01-26,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
93,Kyambambwe,2022-02-16,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
94,Kiviri/Tayna,2022-02-16,Nord-Kivu,78,Or,,,None observed,Observed,Maï-Maï FPP/AP,,,,,,,
95,Likuka,2022-02-16,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
96,Muhanga/Videndo,2022-02-16,Nord-Kivu,50,Or,,,None observed,Observed,Maï-Maï FPP/AP,,,,,,,
97,Musigha,2022-02-12,Nord-Kivu,12,Or,,,None observed,Observed,Maï-Maï FPP/AP,NDC-R,,,,,,
98,Vunzengenere,2022-02-12,Nord-Kivu,3500,Or,,,Observed,Observed,Maï-Maï FPP/AP,NDC-R,,,,,,"Creuser, Creuser sous terre"
99,Lutungulu,2022-02-11,Nord-Kivu,60,Or,,,None observed,Observed,Maï-Maï FPP/AP,,,,,,,
100,Ndihira/Kitsombiro,2022-02-19,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
101,Luate/Kagheri,2022-01-25,Nord-Kivu,100,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
102,Betlehem / Kyondo,2022-01-23,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
103,Kamasavu,2022-02-02,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
104,Kavukembe,2022-02-02,Nord-Kivu,28,Or,,,None observed,Observed,Maï-Maï Juvenal,,,,,,,
105,Kamunyonge,2022-02-02,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
106,Katendere,2022-02-02,Nord-Kivu,85,Or,,,None observed,Observed,FARDC,Maï-Maï Juvenal,,,,,,
107,Mambasi,2022-02-02,Nord-Kivu,70,Or,,,None observed,Observed,FARDC,Maï-Maï Juvenal,,SAEMAPE,,,,
108,Kanaana,2022-02-02,Nord-Kivu,78,Or,,,Observed,Observed,FARDC,,,,,,,
109,Gomora,2022-02-03,Nord-Kivu,96,Or,,,None observed,Observed,FARDC,Maï-Maï Juvenal,,,,,,
110,Mayombiyo,2022-02-03,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
111,Vundande,2022-02-03,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
112,Mununze,2020-10-22,Nord-Kivu,60,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,
113,Kiboto,2020-10-30,Nord-Kivu,75,Or,,,Observed,Observed,FARDC,UPLC,,SAEMAPE,Division des mines,,,
114,Turura/Mabalakwa,2020-10-27,Nord-Kivu,38,Or,,,None observed,None observed,,,,Division des mines,SAEMAPE,,,
115,Rubonga/Buhimba,2022-08-17,Nord-Kivu,95,Cassitérite,Coltan,Or,None observed,Observed,Maï-Maï APCLS,,,,,,,
116,Bishasha,2021-10-09,Nord-Kivu,20,Wolframite,,,No data,None observed,,,,,,,,
117,Kamatale,2021-10-11,Nord-Kivu,200,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser sous terre, Lavage"
118,Mufunzi/Rutarishongo,2021-10-10,Nord-Kivu,16,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,
119,D6 Mufunzi,2021-10-09,Nord-Kivu,40,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,
120,Kinchimba,2023-03-23,Nord-Kivu,13,Or,,,None observed,Observed,NDC-R,,,,,,,
121,Matungu,2023-03-22,Nord-Kivu,250,Or,,,Observed,Observed,FARDC,NDC-R,,SAEMAPE,DGI,,,
122,Nyakarima,2023-03-25,Nord-Kivu,50,Or,,,None observed,Observed,NDC-R,,,,,,,
123,Gbadolite,2023-03-20,Nord-Kivu,12,Or,,,None observed,Observed,NDC-R,,,,,,,
124,Nyamungazi,2023-03-24,Nord-Kivu,16,Or,,,None observed,Observed,NDC-R,,,,,,,
125,Bukacha,2023-03-11,Nord-Kivu,120,Or,,,None observed,Observed,FARDC,NDC-R,,,,,,
126,Munjuli,2023-03-12,Nord-Kivu,75,Or,,,None observed,Observed,NDC-R,,,,,,,"Creuser, Lavage, Transport des minerais, Traiter les déchets"
127,Kasara,2023-03-15,Nord-Kivu,23,Or,,,None observed,Observed,NDC-R,,,,,,,
128,Katuonane,2023-03-15,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
129,Mafofoki1,2023-03-13,Nord-Kivu,1,Or,,,Observed,Observed,NDC-R,,,,,,,
130,Titi,2023-03-11,Nord-Kivu,40,Or,,,None observed,Observed,NDC-R,,,,,,,
131,Ikere,2023-03-16,Nord-Kivu,50,Or,,,None observed,Observed,NDC-R,,,,,,,
132,Betobeto,2023-03-18,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
133,Charingwangwa Musenge,2023-03-18,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
134,Charingwangwa Mulema,2023-03-18,Nord-Kivu,22,Or,,,Observed,Observed,NDC-R,,,,,,,
135,Tchunsu,2023-03-18,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
136,Beteli,2023-03-20,Nord-Kivu,70,Or,,,None observed,Observed,NDC-R,,,,,,,
137,Irameso,2022-08-21,Nord-Kivu,450,Or,,,None observed,Observed,NDC-R,,,Division des mines,,,,
138,Mufereji,2022-08-21,Nord-Kivu,156,Or,,,Observed,Observed,NDC-R,,,Division des mines,,,,
139,Kasuka,2022-08-22,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
140,Mbubi,2022-08-21,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
141,Muribanse,2022-08-21,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
142,Misoke,2022-08-21,Nord-Kivu,504,Cassitérite,,,No data,Observed,NDC-R,,,,,,,
143,Merci bakoko,2022-02-05,Nord-Kivu,25,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,OBLC,Transcom,
144,Kanana,2022-02-05,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
145,Temps présent,2022-02-05,Nord-Kivu,216,Or,,,Observed,None observed,,,,SAEMAPE,Le service de l'environnement,,,
146,Ibalasa,2021-10-04,Maniema,106,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,Chefferie,
